product_id,warehouse_id,supplier_id,governance_priority_score,risk_tier,main_risk_driver,recommended_action,lost_sales_revenue,avg_inventory_value,avg_days_of_supply,avg_fill_rate
SKU-0016,WH-LIS,SUP-002,63.94865009921715,High,Service Risk,review reorder point and raise safety stock,1840818.2400000002,25057.947496580015,4.780164158686732,0.760636112965089
SKU-0016,WH-MAD,SUP-002,63.78615284754513,High,Service Risk,review reorder point and raise safety stock,2420289.1199999996,18409.072407660733,3.8948563611491074,0.6554909889039526
SKU-0016,WH-PORTO,SUP-002,63.7546052152392,High,Service Risk,review reorder point and raise safety stock,1981186.3199999991,21149.94127222983,4.9607387140902865,0.6818914251975757
SKU-0016,WH-LYON,SUP-002,63.30562675421826,High,Service Risk,review reorder point and raise safety stock,1957291.680000001,16480.521012311896,4.178632010943913,0.6581414288233206
SKU-0048,WH-MAD,SUP-003,62.45089709024439,High,Supplier Risk,investigate supplier reliability and qualify backup source,623920.4999999998,23055.957168262645,9.715088919288636,0.8109667065532825
SKU-0003,WH-MAD,SUP-002,61.19489646057127,High,Supplier Risk,investigate supplier reliability and qualify backup source,573089.2800000003,12780.405991792039,6.734432284541718,0.7781528556705517
SKU-0003,WH-PORTO,SUP-002,61.02069917342775,High,Supplier Risk,investigate supplier reliability and qualify backup source,516789.12,12535.026456908352,7.113844049247605,0.7902047067003874
SKU-0003,WH-LYON,SUP-002,60.7833588640481,High,Supplier Risk,investigate supplier reliability and qualify backup source,485162.88,11486.242653898775,6.558139534883716,0.7916213682419968
SKU-0048,WH-LYON,SUP-003,60.740438693637095,High,Supplier Risk,investigate supplier reliability and qualify backup source,408517.19999999995,17354.086292749653,10.12949384404924,0.827326737128894
SKU-0012,WH-MAD,SUP-003,59.88282542183413,High,Supplier Risk,investigate supplier reliability and qualify backup source,320500.97999999986,7831.392448700418,7.368604651162801,0.8039721894000175
SKU-0029,WH-LYON,SUP-002,59.830206736891654,High,Supplier Risk,investigate supplier reliability and qualify backup source,170000.85000000003,7856.534117647071,12.833789329685358,0.7998729786074237
SKU-0012,WH-LYON,SUP-003,59.25006449276037,High,Supplier Risk,investigate supplier reliability and qualify backup source,254887.92000000004,6105.439726402188,7.501723666210674,0.7903253007116015
SKU-0037,WH-LYON,SUP-003,59.175483871448364,High,Supplier Risk,investigate supplier reliability and qualify backup source,196432.66,7514.590971272229,9.370205198358416,0.7900793349022576
SKU-0037,WH-PORTO,SUP-003,58.90679375639795,High,Supplier Risk,investigate supplier reliability and qualify backup source,169770.37,12163.551737346099,13.400916552667583,0.8342577077663137
SKU-0031,WH-LYON,SUP-003,58.825043906974265,High,Supplier Risk,investigate supplier reliability and qualify backup source,554283.1500000001,15357.936634746913,10.072681258549927,0.7530227769966182
SKU-0037,WH-MAD,SUP-003,58.649712864029404,High,Supplier Risk,investigate supplier reliability and qualify backup source,203319.85000000003,10936.483611491116,10.563994528043764,0.8260939628574612
SKU-0077,WH-MAD,SUP-003,58.10869747632268,High,Supplier Risk,investigate supplier reliability and qualify backup source,128705.84999999998,4354.713789329682,16.123529411764704,0.7460153260255965
SKU-0047,WH-MAD,SUP-003,58.06728387200157,High,Supplier Risk,investigate supplier reliability and qualify backup source,413653.1,12478.995567715461,8.317496580027367,0.7708699949792749
SKU-0077,WH-PORTO,SUP-003,58.05850066839507,High,Supplier Risk,investigate supplier reliability and qualify backup source,136154.75999999998,4849.867168262651,16.79288645690834,0.7663589217609146
SKU-0047,WH-PORTO,SUP-003,58.05487726124243,High,Supplier Risk,investigate supplier reliability and qualify backup source,353709.9300000001,18662.237537619716,12.099767441860457,0.8195751713535111
SKU-0031,WH-PORTO,SUP-003,57.99306725034325,High,Supplier Risk,investigate supplier reliability and qualify backup source,421960.59000000014,23022.842134062925,14.153748290013674,0.822625047822763
SKU-0055,WH-MAD,SUP-002,57.811815023060866,High,Supplier Risk,investigate supplier reliability and qualify backup source,512668.5,11182.153433652536,8.603064295485636,0.6989129597273199
SKU-0047,WH-LYON,SUP-003,57.692007186861446,High,Supplier Risk,investigate supplier reliability and qualify backup source,404920.81,10219.695896032825,7.208837209302326,0.7596474284498146
SKU-0046,WH-PORTO,SUP-002,57.24883430874753,High,Supplier Risk,investigate supplier reliability and qualify backup source,82434.87999999999,3308.913652530779,13.996785225718186,0.8016685176212817
SKU-0055,WH-LYON,SUP-002,57.24869795200724,High,Supplier Risk,investigate supplier reliability and qualify backup source,397978.0,9856.146812585504,10.548454172366633,0.6842256771173363
SKU-0005,WH-MAD,SUP-003,57.19114500187103,High,Supplier Risk,investigate supplier reliability and qualify backup source,99383.75999999998,2065.548673050616,7.422626538987685,0.7665480933308432
SKU-0030,WH-LYON,SUP-003,57.18721321884822,High,Supplier Risk,investigate supplier reliability and qualify backup source,32277.960000000014,1390.8447332421333,13.324117647058836,0.7332704412097423
SKU-0055,WH-PORTO,SUP-002,57.17191364203944,High,Supplier Risk,investigate supplier reliability and qualify backup source,298745.5,11807.306456908353,11.425417236662113,0.7885176752104451
SKU-0046,WH-LIS,SUP-002,57.168306402633576,High,Supplier Risk,investigate supplier reliability and qualify backup source,97657.23000000003,3531.1401915184683,12.720150478796166,0.8017871625858898
SKU-0005,WH-LYON,SUP-003,57.1266432666917,High,Supplier Risk,investigate supplier reliability and qualify backup source,85121.81999999993,1708.8412311901488,7.278043775649793,0.7543344957063959
SKU-0031,WH-MAD,SUP-003,57.05153418627381,High,Supplier Risk,investigate supplier reliability and qualify backup source,487088.10000000003,22763.984678522556,11.383406292749669,0.8278030010925883
SKU-0046,WH-LYON,SUP-002,56.902820653383706,High,Supplier Risk,investigate supplier reliability and qualify backup source,100935.88999999997,2657.303474692202,12.225266757865942,0.7486934066676338
SKU-0046,WH-MAD,SUP-002,56.7999058741396,High,Supplier Risk,investigate supplier reliability and qualify backup source,96912.08000000003,2660.791518467853,11.315389876880984,0.7684937733085883
SKU-0031,WH-LIS,SUP-003,56.667636741835715,High,Supplier Risk,investigate supplier reliability and qualify backup source,415697.1600000001,32177.34413132693,16.483173734610105,0.8627264838454706
SKU-0048,WH-PORTO,SUP-003,56.39007831779784,High,Supplier Risk,investigate supplier reliability and qualify backup source,427335.3,28434.10235294114,12.226142270861844,0.8681284993451986
SKU-0030,WH-LIS,SUP-003,56.309262162498676,High,Supplier Risk,investigate supplier reliability and qualify backup source,37544.76,1845.729603283175,12.505458276333789,0.7767532107707258
SKU-0030,WH-MAD,SUP-003,56.206195077368406,High,Supplier Risk,investigate supplier reliability and qualify backup source,48159.86999999999,1230.234746922025,9.565978112175108,0.6885006767949038
SKU-0012,WH-PORTO,SUP-003,56.1100186526417,High,Supplier Risk,investigate supplier reliability and qualify backup source,213191.46,9754.848755129953,9.9898632010944,0.8546849587272207
SKU-0013,WH-PORTO,SUP-001,56.07804762283245,High,Supplier Risk,investigate supplier reliability and qualify backup source,83512.87999999998,3732.1220930232557,8.469999999999988,0.822721343020233
SKU-0030,WH-PORTO,SUP-003,55.99357612926994,High,Supplier Risk,investigate supplier reliability and qualify backup source,41187.629999999976,1409.688919288645,11.40689466484266,0.7238497673310103
