month,units_demanded,units_fulfilled,units_lost_sales,fill_rate,stockout_rate,lost_sales_revenue,avg_days_of_supply,promo_mix_rate
2024-01-01,483632.0,478880.0,4752.0,0.9901743474377213,0.009825652562278757,158807.66999999993,26.535038306451636,0.043010752688172046
2024-02-01,461707.0,435045.0,26662.0,0.9422534204592956,0.05774657954070438,964651.6999999997,23.753817528735667,0.04791666666666667
2024-03-01,518635.0,486161.0,32474.0,0.937385637297907,0.06261436270209299,1128296.56,28.49371908602154,0.04616935483870968
2024-04-01,526423.0,490377.0,36046.0,0.9315265480421638,0.06847345195783619,1375881.9999999995,25.604974305555576,0.046875
2024-05-01,529986.0,490918.0,39068.0,0.9262848452600635,0.07371515473993652,1434078.7299999995,24.06824999999998,0.046505376344086025
2024-06-01,543564.0,502631.0,40933.0,0.924695160091544,0.07530483990845604,1506461.1599999997,23.242555555555555,0.049444444444444444
2024-07-01,586677.0,533379.0,53298.0,0.9091527365143001,0.09084726348569996,2002012.249999999,23.829217741935448,0.04657258064516129
2024-08-01,571342.0,516838.0,54504.0,0.9046035474374368,0.09539645256256322,1710534.7299999997,23.282381720430102,0.049193548387096775
2024-09-01,516599.0,471348.0,45251.0,0.9124059473595574,0.0875940526404426,1553657.1800000009,23.370911805555505,0.04791666666666667
2024-10-01,546425.0,507963.0,38462.0,0.9296115660886672,0.07038843391133276,1430958.1100000003,23.575094086021505,0.05033602150537635
2024-11-01,562482.0,518308.0,44174.0,0.9214659313542478,0.07853406864575221,1393023.869999999,22.69101874999999,0.08659722222222223
2024-12-01,651470.0,571075.0,80395.0,0.8765944709656622,0.12340552903433773,2750167.450000001,20.815411290322576,0.08676075268817204
2025-01-01,486391.0,455328.0,31063.0,0.9361357426432644,0.06386425735673563,956950.5600000003,23.359600134408577,0.04764784946236559
2025-02-01,447134.0,424553.0,22581.0,0.949498360670403,0.05050163932959694,830371.8399999996,24.870594494047616,0.05022321428571429
2025-03-01,518097.0,490379.0,27718.0,0.9465003657616238,0.05349963423837621,983807.72,24.771546370967748,0.044422043010752685
2025-04-01,524555.0,483114.0,41441.0,0.9209977981336561,0.07900220186634385,1390104.3100000005,23.514910416666673,0.04833333333333333
2025-05-01,531399.0,497982.0,33417.0,0.9371150491438637,0.06288495085613635,1108887.9399999995,25.166879704301074,0.046438172043010754
2025-06-01,542531.0,498329.0,44202.0,0.9185263146253394,0.08147368537466061,1592926.61,24.947018055555592,0.04631944444444445
2025-07-01,585228.0,532687.0,52541.0,0.9102213154531226,0.08977868454687746,1814963.4599999995,23.129756048387105,0.050739247311827954
2025-08-01,570157.0,517266.0,52891.0,0.9072343231776511,0.09276567682234893,1846604.7800000003,23.575767473118326,0.04838709677419355
2025-09-01,519592.0,484015.0,35577.0,0.9315289688832776,0.06847103111672236,1360826.07,24.202276388888915,0.04534722222222222
2025-10-01,545946.0,505582.0,40364.0,0.9260659479142626,0.07393405208573742,1466571.0699999998,23.276200940860228,0.050134408602150536
2025-11-01,563424.0,517506.0,45918.0,0.9185018742545579,0.08149812574544216,1415329.4899999993,22.991147222222224,0.08902777777777778
2025-12-01,651429.0,571323.0,80106.0,0.8770303440589842,0.12296965594101583,2603832.6899999985,22.135887768817188,0.08790322580645162
