supplier_id,supplier_name,on_time_delivery_rate,average_delay_days,lead_time_variability,received_vs_ordered_fill_rate,supplier_service_risk_proxy,units_demanded,units_lost_sales,downstream_stockout_rate,downstream_fill_rate,downstream_lost_sales_revenue
SUP-002,Supplier 2,0.411663807890223,4.796740994854202,9.11656067446502,0.9252858637569598,54.62,1240262.0,248023.0,0.19997629533114777,0.8000237046688522,13544811.510000007
SUP-001,Supplier 1,0.4570912375790424,4.511291779584463,9.117734213923487,0.9231658609230952,52.28,1243894.0,117557.0,0.09450724900996388,0.9054927509900361,1728471.6800000006
SUP-003,Supplier 3,0.4841628959276018,4.852941176470588,10.512854451152574,0.9258043387914554,51.82,1666499.0,281165.0,0.16871597282686637,0.8312840271731337,8188280.419999996
SUP-006,Supplier 6,0.4965034965034965,2.202797202797203,4.626756933818412,0.9840538443664664,36.43,517240.0,10854.0,0.02098445595854922,0.9790155440414507,229378.00999999995
SUP-005,Supplier 5,0.4818986323411102,2.1407884151246983,4.414949829671381,0.9835889913480902,36.37,1356527.0,78226.0,0.0576663789220561,0.9423336210779439,3011273.29
SUP-004,Supplier 4,0.488456865127582,1.827460510328068,3.669616203341277,0.9841448808738013,33.61,724838.0,64902.0,0.08954000756031003,0.91045999243969,3556393.249999999
SUP-007,Supplier 7,0.530625,1.47875,3.444738796372593,0.9836668753274892,30.67,1290475.0,85908.0,0.0665708363199597,0.9334291636800403,2277829.7000000016
SUP-008,Supplier 8,0.5422453703703703,1.4693287037037035,3.281484450636382,0.9834985158726166,29.78,1605682.0,51205.0,0.031889876077579496,0.9681101239224205,1049118.8100000008
SUP-012,Supplier 12,0.5989660265878878,0.7909896602658789,1.9719236671033027,0.9836145729297842,22.88,1173283.0,34008.0,0.028985334314057223,0.9710146656859427,609289.6500000011
SUP-010,Supplier 10,0.6248256624825662,0.799163179916318,2.135605231601332,0.9832077043601778,22.28,562945.0,13596.0,0.024151560099121585,0.9758484399008784,164013.88
SUP-009,Supplier 9,0.6332254584681769,0.6245954692556634,1.682135155761603,0.9838355500636644,20.45,907831.0,12668.0,0.013954139041297334,0.9860458609587026,246535.68000000002
SUP-011,Supplier 11,0.6807165437302424,0.5374077976817703,1.597692889643002,0.9830040365413214,18.18,695349.0,5726.0,0.00823471379120413,0.9917652862087959,174312.07000000004
