product_id,warehouse_id,slow_moving_value_proxy,slow_moving_rate,sku_label
SKU-0080,WH-LYON,2423218.9966621064,0.1149110807113543,SKU-0080 | WH-LYON
SKU-0080,WH-PORTO,1327479.897127222,0.0656634746922024,SKU-0080 | WH-PORTO
SKU-0080,WH-MAD,841985.933023255,0.0492476060191518,SKU-0080 | WH-MAD
SKU-0080,WH-LIS,699845.0505882336,0.0369357045143638,SKU-0080 | WH-LIS
SKU-0113,WH-PORTO,506392.48563611484,0.0615595075239398,SKU-0113 | WH-PORTO
SKU-0100,WH-LYON,481206.5125444595,0.0807113543091655,SKU-0100 | WH-LYON
SKU-0095,WH-LYON,470719.3784952116,0.0383036935704514,SKU-0095 | WH-LYON
SKU-0119,WH-MAD,399736.5723666207,0.054719562243502,SKU-0119 | WH-MAD
SKU-0092,WH-MAD,388336.7952393977,0.0574555403556771,SKU-0092 | WH-MAD
SKU-0113,WH-LYON,358009.5198358413,0.0506155950752394,SKU-0113 | WH-LYON
SKU-0100,WH-MAD,354487.6038303691,0.0629274965800273,SKU-0100 | WH-MAD
SKU-0113,WH-MAD,350960.1261285902,0.042407660738714,SKU-0113 | WH-MAD
SKU-0095,WH-MAD,337465.401258549,0.0287277701778385,SKU-0095 | WH-MAD
SKU-0061,WH-LYON,326098.4540355674,0.0957592339261285,SKU-0061 | WH-LYON
SKU-0095,WH-PORTO,321081.8577291378,0.0246238030095759,SKU-0095 | WH-PORTO
