supplier_id,supplier_name,warehouse_id,warehouse_name,cohort_month,po_count,ordered_units,received_units,receipt_fill_rate,on_time_delivery_rate,average_delay_days,lead_time_variability,late_received_units,downstream_units_demanded,downstream_units_lost_sales,downstream_lost_sales_revenue,downstream_stockout_rate,downstream_fill_rate,cohort_risk_score
SUP-002,Supplier 2,WH-PORTO,Porto Distribution Center,2025-06-01,11,9894.0,9122.0,0.9219729128764909,0.18181818181818182,8.272727272727273,10.824215277036778,7215.0,12481.0,3352.0,196290.26,0.26856822370002403,0.7314317762999759,86.47217695000002
SUP-002,Supplier 2,WH-MAD,Madrid Regional Hub,2024-12-01,13,10952.0,10088.0,0.9211102994886778,0.23076923076923078,8.461538461538462,9.200055741191226,7439.0,16213.0,6548.0,346850.58,0.40387343489792144,0.5961265651020786,86.40146296178683
SUP-002,Supplier 2,WH-PORTO,Porto Distribution Center,2024-09-01,11,9608.0,9117.0,0.9488967527060783,0.18181818181818182,9.909090909090908,10.351987073196932,7342.0,11640.0,2883.0,185607.08000000002,0.24768041237113403,0.752319587628866,86.39205310000001
SUP-003,Supplier 3,WH-PORTO,Porto Distribution Center,2025-08-01,13,14363.0,13243.0,0.9220218617280512,0.38461538461538464,8.307692307692308,12.794229468487256,8467.0,17514.0,4453.0,147026.58999999997,0.2542537398652507,0.7457462601347493,86.10269942500001
SUP-003,Supplier 3,WH-LIS,Lisbon Distribution Center,2024-09-01,11,15447.0,14291.0,0.9251634621609374,0.18181818181818182,10.181818181818182,10.328248993548096,11721.0,19416.0,4787.0,123984.51999999999,0.24654923774206838,0.7534507622579316,85.92988390000001
SUP-002,Supplier 2,WH-PORTO,Porto Distribution Center,2025-10-01,10,9336.0,8600.0,0.921165381319623,0.2,9.1,10.293471501663351,6200.0,12314.0,2349.0,101027.93,0.19075848627578365,0.8092415137242164,85.75770947500001
SUP-002,Supplier 2,WH-PORTO,Porto Distribution Center,2025-12-01,12,10200.0,9338.0,0.9154901960784314,0.08333333333333333,9.75,8.877533782566307,8423.0,14267.0,3741.0,170289.27000000002,0.2622134996845868,0.7377865003154132,84.59347019884945
SUP-003,Supplier 3,WH-MAD,Madrid Regional Hub,2024-07-01,16,17922.0,16557.0,0.923836625376632,0.3125,8.5625,12.784756548327385,11237.0,19775.0,3298.0,96554.75,0.16677623261694058,0.8332237673830594,84.25485313799341
SUP-002,Supplier 2,WH-LYON,Lyon EU Gateway,2024-09-01,12,9830.0,9273.0,0.9433367243133266,0.25,7.083333333333333,10.366028432072984,6845.0,10614.0,2851.0,140993.69999999998,0.26860749952892404,0.731392500471076,83.76578608333334
SUP-001,Supplier 1,WH-PORTO,Porto Distribution Center,2024-12-01,13,14199.0,12826.0,0.9033030495105289,0.38461538461538464,7.384615384615385,14.64494311953307,8276.0,14830.0,3046.0,37512.33,0.20539447066756575,0.7946055293324342,83.74288093653846
SUP-002,Supplier 2,WH-PORTO,Porto Distribution Center,2025-04-01,11,10139.0,9338.0,0.9209981260479337,0.5454545454545454,7.090909090909091,14.562717029206029,4481.0,12098.0,3141.0,126356.12999999999,0.25962969085799303,0.740370309142007,83.67494370227274
SUP-003,Supplier 3,WH-LYON,Lyon EU Gateway,2024-11-01,13,12760.0,11724.0,0.9188087774294671,0.23076923076923078,9.384615384615385,10.019852089598723,8910.0,14540.0,2332.0,55750.810000000005,0.16038514442916094,0.839614855570839,83.23870267824012
SUP-001,Supplier 1,WH-PORTO,Porto Distribution Center,2024-08-01,13,14427.0,13192.0,0.914396617453386,0.3076923076923077,7.538461538461538,11.198672082450507,8850.0,12871.0,2189.0,29484.75,0.17007225545800636,0.8299277445419936,82.96420674426567
SUP-002,Supplier 2,WH-LYON,Lyon EU Gateway,2025-03-01,12,10044.0,9041.0,0.9001393866985264,0.16666666666666666,7.416666666666667,8.904799523035571,7733.0,10736.0,2638.0,141042.63,0.24571535022354696,0.754284649776453,82.95668567622002
SUP-003,Supplier 3,WH-LYON,Lyon EU Gateway,2025-11-01,14,13254.0,12399.0,0.9354911724762336,0.2857142857142857,6.857142857142857,13.889675191417435,8945.0,15202.0,2850.0,68134.77,0.18747533219313248,0.8125246678068675,82.65386791785714
SUP-003,Supplier 3,WH-LYON,Lyon EU Gateway,2025-08-01,15,14609.0,13418.0,0.9184749127250326,0.4,6.6,10.18308588273899,8035.0,15098.0,3446.0,130277.82000000002,0.22824215127831501,0.771757848721685,82.47708365
SUP-001,Supplier 1,WH-PORTO,Porto Distribution Center,2024-11-01,10,10790.0,9815.0,0.9096385542168675,0.2,8.7,8.0938934457473,7677.0,13035.0,3241.0,42365.94000000001,0.24863828154967396,0.7513617184503261,82.45858471862095
SUP-002,Supplier 2,WH-MAD,Madrid Regional Hub,2025-07-01,13,12051.0,11002.0,0.9129532818853208,0.15384615384615385,7.615384615384615,8.014410098738972,9627.0,14139.0,3822.0,181958.98,0.27031614682792277,0.7296838531720772,82.42476903657
SUP-003,Supplier 3,WH-LIS,Lisbon Distribution Center,2024-03-01,13,17115.0,15988.0,0.9341513292433538,0.38461538461538464,6.615384615384615,10.31491327629253,9571.0,19457.0,3624.0,94894.36000000002,0.1862568741327029,0.8137431258672971,82.25016923846154
SUP-003,Supplier 3,WH-LYON,Lyon EU Gateway,2025-07-01,13,12543.0,11236.0,0.8957984533205772,0.3076923076923077,6.615384615384615,10.348417443732332,7871.0,15473.0,3031.0,89290.84,0.1958896141666128,0.8041103858333872,82.20814283846154
SUP-001,Supplier 1,WH-MAD,Madrid Regional Hub,2025-12-01,16,16960.0,15752.0,0.9287735849056604,0.3125,6.6875,12.24472675617277,10549.0,15819.0,2950.0,32061.33,0.18648460711802264,0.8135153928819774,81.959209975
SUP-003,Supplier 3,WH-PORTO,Porto Distribution Center,2025-12-01,15,17618.0,16253.0,0.922522420252015,0.4666666666666667,6.2,10.417476159022852,9019.0,20981.0,6547.0,157306.56,0.3120442304942567,0.6879557695057433,81.67979919999999
SUP-002,Supplier 2,WH-PORTO,Porto Distribution Center,2024-11-01,12,11644.0,10433.0,0.895997938852628,0.4166666666666667,6.5,10.532417489912664,6083.0,12395.0,2192.0,101029.5,0.17684550221863654,0.8231544977813634,81.65722149651518
