product_id,warehouse_id,supplier_id,category,abc_class,demand_mean,demand_std,baseline_fill_rate,baseline_days_of_supply,baseline_inventory_value,baseline_lost_sales,unit_cost,unit_price,lead_time_days,target_service_level,forecast_daily_mean,forecast_daily_std,forecast_enriched_flag,annual_demand_units,scenario_name,reorder_z,cycle_stock_days,reorder_point_units,order_up_to_units,estimated_service_level,expected_days_of_supply,expected_inventory_value,expected_lost_sales_value_annual,service_delta_vs_baseline,capital_delta_vs_baseline
SKU-0001,WH-LIS,SUP-007,Beverages,A,113.29790618448529,31.97571537170014,0.8436510377396161,5.49825,2350.6774166666664,17879.4,4.61,9.45,13,0.976,113.29790618448529,31.97571537170014,1,41353.73575733713,Lean Cash,0.8,7.0,1565.1048454721545,2358.1901887635513,0.7881446014166036,14.314066810057922,7476.28501138187,82791.56502335038,-0.055506436323012553,5125.607594715204
SKU-0001,WH-LYON,SUP-007,Beverages,A,83.55398745198626,26.13585679113672,0.7872498477248409,3.59075,1140.7060833333335,17652.6,4.61,9.45,13,0.976,83.55398745198626,26.13585679113672,1,30497.205419974984,Lean Cash,0.8,7.0,1161.589174306723,1746.4670864706268,0.788144601416603,14.402259003189075,5547.518034630822,61056.427413824655,0.0008947536917621735,4406.811951297488
SKU-0001,WH-MAD,SUP-007,Beverages,A,99.22681179791516,28.76514700415824,0.7849904889148852,4.285833333333333,1659.3695,22623.3,4.61,9.45,13,0.976,99.22681179791516,28.76514700415824,1,36217.78630623903,Lean Cash,0.8,7.0,1372.9199233486986,2067.5076059341045,0.7881446014166034,14.336178936644465,6557.878647831694,72509.22208262143,0.0031541125017181537,4898.5091478316945
SKU-0001,WH-PORTO,SUP-007,Beverages,A,96.05726755366496,28.617615416153043,0.8066946265776676,5.156833333333334,1994.286,19438.649999999998,4.61,9.45,13,0.976,96.05726755366496,28.617615416153043,1,35060.90265708771,Lean Cash,0.8,7.0,1331.2903020092033,2003.691174884858,0.7881446014166035,14.359339703426835,6358.660293973625,70193.10224219879,-0.018550025161064077,4364.374293973625
SKU-0002,WH-LIS,SUP-012,Snacks,A,100.63770520871024,41.51862309936578,0.990506329113924,7.905333333333333,7451.632,1882.44,11.04,22.68,8,0.993,100.63770520871024,41.51862309936578,1,36732.762401179236,Lean Cash,0.8,7.0,899.04756147477,1603.5114979357418,0.7881446014166035,11.93350618051411,13258.605875193944,176496.53156387093,-0.20236172769732053,5806.973875193944
SKU-0002,WH-LYON,SUP-012,Snacks,A,86.00853833844174,38.05176177852225,0.9189030744209743,5.125416666666666,3637.2200000000003,15558.48,11.04,22.68,8,0.993,86.00853833844174,38.05176177852225,1,31393.116493531234,Lean Cash,0.8,7.0,774.1696148345361,1376.2293832036282,0.7881446014166035,12.001078611383853,11395.435337542469,150840.1713863735,-0.13075847300437082,7758.215337542469
SKU-0002,WH-MAD,SUP-012,Snacks,A,109.75263292437526,51.343656227628166,0.9512915858564451,4.919083333333333,5095.3279999999995,14152.32,11.04,22.68,8,0.993,109.75263292437526,51.343656227628166,1,40059.71101739697,Lean Cash,0.8,7.0,994.1984953612958,1762.4669258319227,0.7881446014166034,12.058538905816917,14610.958591244014,192482.12189439297,-0.16314698443984177,9515.630591244015
SKU-0002,WH-PORTO,SUP-012,Snacks,A,90.0576024198347,34.86630127748965,0.951523569023569,6.174333333333333,4986.584,11113.199999999999,11.04,22.68,8,0.993,90.0576024198347,34.86630127748965,1,32871.02488323966,Lean Cash,0.8,7.0,799.3542531769372,1429.75747011578,0.7881446014166034,11.876033024402211,11807.578747218313,157941.34450000548,-0.16337896760696569,6820.994747218313
SKU-0003,WH-LIS,SUP-002,Personal Care,A,103.89447787989282,29.46240939032572,0.9113672563932981,9.127166666666666,20313.852000000003,43304.32,25.61,45.44,23,0.982,103.89447787989282,29.46240939032572,1,37921.48442616088,Lean Cash,0.8,7.0,2502.61039260303,3229.8717377622797,0.7881446014166034,19.5880020158162,52118.533051295344,365059.1072361377,-0.12322265497669471,31804.68105129534
SKU-0003,WH-LYON,SUP-002,Personal Care,A,86.88109928328814,27.65545125564161,0.7586372278602932,6.5264999999999995,11420.7795,90834.56,25.61,45.44,23,0.982,86.88109928328814,27.65545125564161,1,31711.60123840017,Lean Cash,0.8,7.0,2104.3699914542226,2712.5376864372397,0.7881446014166035,19.721263414182022,43880.30319424011,305278.3669283897,0.02950737355631028,32459.523694240106
SKU-0003,WH-MAD,SUP-002,Personal Care,A,93.2021528618955,25.322743284036733,0.7348959939913887,5.825916666666667,11046.660083333332,125959.68,25.61,45.44,23,0.982,93.2021528618955,25.322743284036733,1,34018.78579459186,Lean Cash,0.8,7.0,2240.8044042222677,2893.219474255536,0.7881446014166035,19.542410345849337,46645.91868556313,327488.9619791281,0.053248607425214756,35599.25860222979
SKU-0003,WH-PORTO,SUP-002,Personal Care,A,81.70463577054484,23.582221811261004,0.809156127595768,5.636166666666667,9980.857250000001,79383.68,25.61,45.44,23,0.982,81.70463577054484,23.582221811261004,1,29822.192056248867,Lean Cash,0.8,7.0,1969.68371292429,2541.6161633181036,0.788144601416603,19.60736789104415,41027.54913861462,287089.573961096,-0.02101152617916502,31046.691888614616
SKU-0004,WH-LIS,SUP-006,Household,A,120.03076093954408,46.45570998410849,1.0,28.710583333333332,67078.13875,0.0,23.45,45.06,15,0.97,120.03076093954408,46.45570998410849,1,43811.22774293359,Lean Cash,0.8,7.0,1944.3991669769164,2784.614493553725,0.7881446014166035,15.699173876405336,44188.79979359253,418230.9289227764,-0.21185539858339653,-22889.338956407468
SKU-0004,WH-LYON,SUP-006,Household,A,96.27521558754545,45.32203958092502,1.0,18.323916666666666,34886.95583333333,0.0,23.45,45.06,15,0.97,96.27521558754545,45.32203958092502,1,35140.45368945409,Lean Cash,0.8,7.0,1584.5534374236424,2258.4799465364604,0.7881446014166034,15.958581035144695,36028.95120482044,335457.94871449773,-0.21185539858339664,1141.995371487108
SKU-0004,WH-MAD,SUP-006,Household,A,113.67056991113417,47.49670513965755,1.0,21.52325,47305.09875,0.0,23.45,45.06,15,0.97,113.67056991113417,47.49670513965755,1,41489.758017563974,Lean Cash,0.8,7.0,1852.221707071507,2647.915696449446,0.7881446014166035,15.794646085785828,42101.811598618784,396069.70474060235,-0.21185539858339653,-5203.287151381213
