run_timestamp_utc,script_name,status,duration_sec,error_text
2026-04-02 12:56:28,data_generation.py,PASS,5.4622,
2026-04-02 12:56:34,source_adapter.py,PASS,0.3629,
2026-04-02 12:56:34,data_preparation.py,PASS,2.2452,
2026-04-02 12:56:36,feature_engineering.py,PASS,2.4089,
2026-04-02 12:56:39,data_contracts.py,PASS,1.1362,
2026-04-02 12:56:40,probabilistic_forecast.py,PASS,3.2572,
2026-04-02 12:56:43,scoring.py,PASS,1.2345,
2026-04-02 12:56:44,kpi_diagnostic_analysis.py,PASS,0.7425,
2026-04-02 12:56:45,impact_analysis.py,PASS,1.8356,
2026-04-02 12:56:47,sensitivity_analysis.py,PASS,0.9084,
2026-04-02 12:56:48,visualization.py,PASS,3.3317,
2026-04-02 12:56:51,policy_simulation.py,PASS,1.1993,
2026-04-02 12:56:52,policy_optimizer.py,PASS,0.956,
2026-04-02 12:56:53,monte_carlo_stress.py,PASS,1.8311,
2026-04-02 12:56:55,supplier_lane_diagnostics.py,PASS,2.7884,
2026-04-02 12:56:58,po_cohort_diagnostics.py,PASS,2.3851,
2026-04-02 12:57:00,intervention_tracker.py,PASS,1.3122,
2026-04-02 12:57:02,anomaly_alerts.py,PASS,1.5999,
2026-04-02 12:57:03,executive_dashboard.py,PASS,1.4539,
2026-04-02 12:57:05,sql_quality_gate.py,PASS,1.2572,
2026-04-02 12:57:06,pre_delivery_validation.py,PASS,2.4291,
2026-04-02 12:57:08,ci_quality_gate.py,PASS,0.2861,
