product_id,product_name,warehouse_id,category,supplier_id,units_demanded,units_lost_sales,lost_sales_revenue_observed,lost_sales_margin_proxy_observed,excess_inventory_value_proxy_observed,trapped_working_capital_proxy_observed,slow_moving_value_proxy_observed,supplier_delay_impact_proxy_observed,lost_sales_revenue_annualized,lost_sales_margin_proxy_annualized,excess_inventory_value_proxy_annualized,trapped_working_capital_proxy_annualized,slow_moving_value_proxy_annualized,supplier_delay_impact_proxy_annualized,opportunity_margin_recovery_12m_proxy,opportunity_wc_release_12m_proxy,opportunity_total_12m_proxy,stockout_rate,opportunity_share,opportunity_rank
SKU-0080,Health Product 80,WH-LYON,Health,SUP-003,1282,0,0.0,0.0,17957145.56555614,18140552.567298416,2327206.14,0.0,0.0,0.0,8966290.193471944,9057868.244957484,1162011.27373461,0.0,0.0,2264467.061239371,2264467.061239371,0.0,0.05291536840389956,1
SKU-0080,Health Product 80,WH-PORTO,Health,SUP-003,1456,18,2535.66,1432.9800000000002,16632316.64605572,16755572.20914029,1526231.64,1710.9968212669685,1266.0956224350205,715.5098495212039,8304781.909453266,8366325.38486485,762071.8859097126,854.3280981702374,250.42844733242134,2091581.3462162125,2091831.774663545,0.012362637362637362,0.048881280231438846,2
SKU-0004,Household Product 4,WH-LIS,Household,SUP-006,75643,0,0.0,0.0,15429196.08058559,15429196.08058559,0.0,0.0,0.0,0.0,7704044.554601559,7704044.554601559,0.0,0.0,0.0,1926011.1386503899,1926011.1386503899,0.0,0.04500643471312838,3
SKU-0080,Health Product 80,WH-LIS,Health,SUP-003,1786,0,0.0,0.0,14459971.058087863,14541610.097269043,761523.06,0.0,0.0,0.0,7220094.987964528,7260858.666899043,380240.6523939808,0.0,0.0,1815214.6667247608,1815214.6667247608,0.0,0.042417376903390064,4
SKU-0080,Health Product 80,WH-MAD,Health,SUP-003,1760,48,6761.76,3821.2800000000007,12892141.709254164,13001289.748938246,953205.6,4562.658190045249,3376.2549931600547,1908.0262653898772,6437252.700243187,6491752.063423337,475950.8125854993,2278.2082617872993,667.8091928864569,1622938.0158558344,1623605.8250487207,0.02727272727272727,0.03793992054278268,5
SKU-0011,Personal Care Product 11,WH-LIS,Personal Care,SUP-010,60324,0,0.0,0.0,11727959.014864512,11727959.014864512,0.0,0.0,0.0,0.0,5855957.647640967,5855957.647640967,0.0,0.0,0.0,1463989.4119102417,1463989.4119102417,0.0,0.03421005339253632,6
SKU-0004,Household Product 4,WH-PORTO,Household,SUP-006,71195,0,0.0,0.0,11432971.780496445,11432971.780496445,0.0,0.0,0.0,0.0,5708665.800111083,5708665.800111083,0.0,0.0,0.0,1427166.4500277708,1427166.4500277708,0.0,0.033349585767687207,7
SKU-0095,Pet Care Product 95,WH-PORTO,Pet Care,SUP-003,3182,29,1990.56,855.5,8118741.164292992,8174287.285099135,294724.2,1343.1776470588236,993.9184678522571,427.1648426812585,4053817.407615516,4081552.474775902,147160.5102599179,670.6700973686328,149.50769493844047,1020388.1186939755,1020537.626388914,0.009113764927718416,0.023847608735299754,8
SKU-0004,Household Product 4,WH-MAD,Household,SUP-006,71184,400,18024.0,8644.000000000002,7957052.926531121,7957052.926531121,0.0,7736.773619223141,8999.67168262654,4316.08755129959,3973083.8826044584,3973083.8826044584,0.0,3863.0948987913084,1510.6306429548565,993270.9706511146,994781.6012940694,0.005619240278714317,0.023245749878599117,9
SKU-0095,Pet Care Product 95,WH-LYON,Pet Care,SUP-003,3207,73,5010.72,2153.5,7580239.378363707,7673638.363997022,487997.52,3381.1023529411764,2501.9326949384404,1075.2770177838577,3784934.846925791,3831570.4553473503,243664.97236662105,1688.2385209624206,376.34695622435015,957892.6138368376,958268.9607930619,0.022762706579357656,0.022392533748154496,10
SKU-0095,Pet Care Product 95,WH-MAD,Pet Care,SUP-003,3925,106,7275.84,3127.0,6387045.8597937515,6470289.815336476,377427.02,4909.545882352942,3632.943365253078,1561.361149110807,3189154.225478412,3230719.26483969,188455.3519835841,2451.4148386577613,546.4764021887825,807679.8162099225,808226.2926121113,0.02700636942675159,0.01888638291955572,11
SKU-0095,Pet Care Product 95,WH-LIS,Pet Care,SUP-003,4705,113,7756.32,3333.5,6212872.172194216,6262687.801333315,207637.7,5233.761176470589,3872.854719562243,1664.469904240766,3102186.515527892,3127060.2564796987,103676.8269493844,2613.3007242295002,582.564466484268,781765.0641199247,782347.6285864089,0.02401700318809777,0.018281658274114727,12
SKU-0011,Personal Care Product 11,WH-PORTO,Personal Care,SUP-010,46659,0,0.0,0.0,5918629.555661062,5918629.555661062,0.0,0.0,0.0,0.0,2955266.4676009403,2955266.4676009403,0.0,0.0,0.0,738816.6169002351,738816.6169002351,0.0,0.017264439008797778,13
SKU-0036,Household Product 36,WH-LIS,Household,SUP-001,39718,211,14094.8,8011.67,5243175.271783395,5277901.006783395,69451.47,9193.02626376944,7037.759233926128,4000.355061559507,2618001.332696223,2635340.447983501,34678.230574555404,4590.225152224139,1400.1242715458275,658835.1119958753,660235.236267421,0.005312452792184903,0.015428173524063105,14
SKU-0004,Household Product 4,WH-LYON,Household,SUP-006,61018,205,9237.300000000001,4430.050000000001,5282741.845392206,5282741.845392206,0.0,3965.09647985186,4612.331737346101,2211.99487004104,2637757.556180787,2637757.556180787,0.0,1979.8361356305454,774.198204514364,659439.3890451967,660213.587249711,0.0033596643613359994,0.01542766763648924,15
SKU-0108,Household Product 108,WH-LYON,Household,SUP-003,3134,159,7077.09,2543.999999999999,4921955.483854768,4936309.420130932,81224.99,4775.43459841629,3533.704309165527,1270.2599179206563,2457611.151309152,2464778.3014333653,40556.93755129959,2384.4509280737975,444.59097127222964,616194.5753583413,616639.1663296135,0.05073388640714742,0.014409433997572196,16
SKU-0108,Household Product 108,WH-PORTO,Household,SUP-003,3116,168,7477.68,2687.999999999999,4738918.645170881,4745376.160170881,12915.029999999999,5045.742217194571,3733.7253077975374,1342.161422708618,2366217.928163299,2369442.2687583743,6448.681190150479,2519.4198485308048,469.75649794801626,592360.5671895936,592830.3236875415,0.05391527599486521,0.013853076300328334,17
SKU-0108,Household Product 108,WH-MAD,Household,SUP-003,3470,42,1869.42,671.9999999999998,4663393.540822365,4673860.740626369,50234.62,1261.4355542986427,933.4313269493844,335.5403556771545,2328507.034747145,2333733.475141757,25082.94979480164,629.8549621327012,117.43912448700407,583433.3687854393,583550.8079099264,0.012103746397694525,0.013636235435478854,18
SKU-0009,Beverages Product 9,WH-LIS,Beverages,SUP-005,75178,0,0.0,0.0,4481851.39698216,4481851.39698216,0.0,0.0,0.0,0.0,2237860.136660039,2237860.136660039,0.0,0.0,0.0,559465.0341650097,559465.0341650097,0.0,0.013073406497570753,19
SKU-0108,Household Product 108,WH-LIS,Household,SUP-003,4064,221,9836.71,3535.999999999999,4334643.108137262,4334643.108137262,0.0,6637.553750000001,4911.626744186046,1765.5813953488366,2164356.6819016426,2164356.6819016426,0.0,3314.236824555404,617.9534883720928,541089.1704754106,541707.1239637827,0.05437992125984252,0.0126584451247756,20
SKU-0011,Personal Care Product 11,WH-MAD,Personal Care,SUP-010,46138,0,0.0,0.0,4187698.7139459066,4187698.7139459066,0.0,0.0,0.0,0.0,2090984.9939675182,2090984.9939675182,0.0,0.0,0.0,522746.24849187955,522746.24849187955,0.0,0.012215373230275581,21
SKU-0072,Health Product 72,WH-LIS,Health,SUP-008,11082,0,0.0,0.0,3599905.4519055365,3605722.09223532,15050.88,0.0,0.0,0.0,1797490.4103221898,1800394.7519369244,7515.145280437756,0.0,0.0,450098.6879842311,450098.6879842311,0.0,0.010517767425489514,22
SKU-0011,Personal Care Product 11,WH-LYON,Personal Care,SUP-010,40604,0,0.0,0.0,3592059.3166078986,3592059.3166078986,0.0,0.0,0.0,0.0,1793572.7093869806,1793572.7093869806,0.0,0.0,0.0,448393.17734674516,448393.17734674516,0.0,0.010477913578531835,23
SKU-0113,Beverages Product 113,WH-PORTO,Beverages,SUP-003,8465,0,0.0,0.0,3109657.33799873,3276721.594260375,595802.2,0.0,0.0,0.0,1552701.6803960826,1636119.5374897905,297493.57455540355,0.0,0.0,409029.8843724476,409029.8843724476,0.0,0.009558084279630232,24
SKU-0113,Beverages Product 113,WH-MAD,Beverages,SUP-003,9971,269,9336.99,5086.79,2915244.633705513,3029310.775241352,353461.8,6300.35580882353,4662.1085499316005,2539.915663474692,1455628.3054753928,1512583.3556266667,176489.1340629275,3145.8684955138006,888.9704822161422,378145.8389066667,379034.80938888283,0.02697823688697222,0.008857168611557222,25
SKU-0100,Household Product 100,WH-LYON,Household,SUP-002,3990,214,10586.58,5302.92,2702712.1048997724,2840517.4758930765,521650.32,7272.1287662662235,5286.048837209302,2647.8328317373457,1349507.412159257,1418315.8395362147,260468.3540355677,3631.090286849756,926.7414911080709,354578.9598840537,355505.7013751617,0.05363408521303258,0.008307347666897613,26
SKU-0036,Household Product 36,WH-PORTO,Household,SUP-001,32536,592,39545.6,22478.239999999998,2693054.684665376,2751074.175778169,144813.09,25792.756152376816,19745.75102599179,11223.745006839945,1344685.307664654,1373655.3682066097,72307.49363885088,12878.735972117014,3928.3107523939802,343413.84205165243,347342.1528040464,0.018195229899188592,0.008116584379801148,27
SKU-0100,Household Product 100,WH-PORTO,Household,SUP-002,3916,222,10982.34,5501.16,2589581.5947322147,2668333.386766644,279145.14,7543.984047248138,5483.658139534884,2746.8172366621066,1293019.5377253876,1332341.567947777,139381.63625170998,3766.831979816102,961.3860328317372,333085.39198694425,334046.778019776,0.05669050051072523,0.007805902159326483,28
SKU-0113,Beverages Product 113,WH-LYON,Beverages,SUP-003,8381,135,4685.85,2552.85,2540610.5835340237,2656119.855130886,363874.0,3161.8886029411765,2339.719904240766,1274.6788645690833,1268567.5280299846,1326243.1561187052,181688.11217510258,1578.7815869678925,446.13760259917916,331560.7890296763,332006.92663227546,0.016107863023505548,0.007758235540762502,29
SKU-0020,Household Product 20,WH-LIS,Household,SUP-008,58290,116,4957.84,2046.24,2638844.6163310176,2638844.6163310176,0.0,1710.8797242267135,2475.5288645690835,1021.7203830369357,1317617.3528875804,1317617.3528875804,0.0,854.2696297438446,357.60213406292746,329404.3382218951,329761.94035595807,0.001990049751243781,0.007705775393336902,30
SKU-0113,Beverages Product 113,WH-LIS,Beverages,SUP-003,10363,177,6143.67,3347.0699999999997,2446527.570876409,2566299.555902195,338151.6,4145.587279411765,3067.6327633378933,1671.2456224350203,1221590.3739670166,1281394.4430975392,168844.50615595074,2069.958080691237,584.9359678522571,320348.6107743848,320933.54674223706,0.017079996140113865,0.007499476212182552,31
