product_id,product_name,category,abc_class,average_inventory_units,average_inventory_value,average_days_of_supply,stockout_frequency,fill_rate_average,lost_sales_exposure,slow_moving_inventory_proxy,excess_inventory_proxy,working_capital_risk_proxy
SKU-0047,Pet Care Product 47,Pet Care,B,660.3669630642955,15974.276836525283,10.2242270861833,0.2021203830369357,0.8092712421028285,1400367.08,0.0,0.022913816689466484,10.48
SKU-0048,Health Product 48,Health,B,743.7558139534884,26619.02058139539,11.587575239398095,0.1573187414500684,0.8522810391161689,1784370.0,0.0003419972640218878,0.028727770177838577,15.16
SKU-0114,Snacks Product 114,Snacks,C,386.9192886456908,3629.3029274965634,38.04974350205206,0.0027359781121751026,0.9977428180574556,1355.9399999999998,0.02188782489740082,0.380984952120383,31.75
SKU-0116,Household Product 116,Household,C,162.2609439124487,5555.814719562252,13.552120383036954,0.023939808481532147,0.9824657619965931,49002.95,0.0027359781121751026,0.0,6.69
SKU-0053,Frozen Product 53,Frozen,B,885.563269493844,2594.7003796169606,13.821733926128548,0.04616963064295486,0.9593298243255503,36648.2,0.007181942544459644,0.016073871409028728,6.49
SKU-0065,Beverages Product 65,Beverages,C,424.5489056087551,7607.916388508876,39.061323529411766,0.006155950752393981,0.994612081564886,5190.9,0.03864569083447333,0.40800273597811215,35.22
SKU-0084,Household Product 84,Household,C,247.96682626538987,3600.4783173734572,19.570256497948005,0.005129958960328317,0.9961352548686554,7670.25,0.0253077975376197,0.0003419972640218878,8.53
SKU-0088,Health Product 88,Health,C,375.4439124487004,16602.1298084815,23.938231874144975,0.006839945280437756,0.9945522801924794,29558.54,0.018125854993160054,0.04993160054719562,16.95
SKU-0006,Dairy Product 6,Dairy,A,641.1200410396717,5270.006737346104,6.5424863201094405,0.07763337893296854,0.9358713645113134,194600.7,0.0,0.004445964432284542,4.37
SKU-0007,Pet Care Product 7,Pet Care,A,492.9876880984952,11846.494145006864,5.676829685362497,0.13577291381668946,0.8857617251046908,1241273.95,0.0,0.0003419972640218878,6.38
SKU-0041,Beverages Product 41,Beverages,B,726.0670314637483,6287.740492476064,20.000164158686736,0.036593707250342,0.9683520374128936,46621.11,0.0010259917920656635,0.2188782489740082,18.92
SKU-0110,Dairy Product 110,Dairy,C,363.9575923392613,1921.6960875512991,20.555321477428173,0.016757865937072503,0.9864432573377786,4864.64,0.004445964432284542,0.005471956224350205,7.94
SKU-0051,Personal Care Product 51,Personal Care,B,336.04651162790697,7503.918604651136,11.09707250342,0.06258549931600547,0.945609229515775,233863.63,0.0,0.003761969904240766,6.7
SKU-0078,Dairy Product 78,Dairy,C,232.7058823529412,1712.715294117647,41.14690834473325,0.021203830369357045,0.9807608554616079,6043.96,0.020861833105335157,0.4442544459644323,34.88
SKU-0087,Pet Care Product 87,Pet Care,C,415.1891244870041,6609.810861833097,44.276952804377466,0.06429548563611491,0.9386416577072507,56797.84,0.011285909712722298,0.46785225718194257,38.59
SKU-0091,Personal Care Product 91,Personal Care,C,322.7202462380301,7277.341552667564,20.180636114911092,0.009233926128590971,0.993162634484255,15978.24,0.01880984952120383,0.001709986320109439,10.02
SKU-0003,Personal Care Product 3,Personal Care,A,575.5649794801642,14740.219124487025,7.591552667578664,0.19801641586867305,0.8177031354069457,1849317.1199999999,0.0,0.04138166894664843,9.96
SKU-0008,Health Product 8,Health,A,540.516757865937,26420.459124486948,6.4562619699042285,0.1374829001367989,0.8818583336430391,2859646.68,0.0,0.0023939808481532147,12.24
SKU-0025,Beverages Product 25,Beverages,B,412.1039671682626,5155.420629274954,12.34961696306425,0.009575923392612859,0.9923691618617954,20217.03,0.003419972640218878,0.0,6.15
SKU-0094,Dairy Product 94,Dairy,C,369.2472640218878,1126.2041552667604,36.09198016415871,0.0030779753761969904,0.9980951541998053,478.72,0.07387140902872777,0.34062927496580025,29.63
